Page_traffic,Unit_price,Title_Count,Description_Length,Image_Count,month,1_Star_Rating,2_Star_Rating,3_Star_Rating,5_Star_Rating,Organic Search Rank,online_cost_per_impression,4_Star_Rating,average_rating,num_unique_Search_Terms,total_clicks,num_unique_campaigns,total_cost,Online_Impressions,Segment_Makeup,Online_Clicks,Online_Cost,video_cost_per_impression,Units_sold>1000
844.0,14.85942705,167,158,0,7,0.0,0.0,0,298,37.0,0.0,49,4.9,4.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
2912.0,34.91727494,89,62,5,11,47.0,34.0,85,1464,31.0,0.02297961383622624,198,4.6,7.0,11392.0,4,114960.576607,164885,False,1083.0,3789.016607,0.012052667150486772,0
4450.0,25.18632479,85,59,9,2,0.0,0.0,19,320,3.0,0.010935225539463788,52,4.8,5.0,1776.0,2,3649.20505,333710,False,1776.0,3649.20505,0.0,0
3684.0,18.9568082,127,221,8,11,117.0,80.0,227,1692,18.0,0.0,357,4.4,6.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
4114.0,18.5953271,126,149,9,1,152.0,98.0,276,4259,13.0,0.01645665146043587,588,4.6,13.0,6077.0,4,63778.444646,134856,False,698.0,2219.294646,0.009999826186456125,1
4377.0,25.1833509,126,221,9,5,98.0,75.0,213,2891,8.0,0.02474891952688118,428,4.6,9.0,997.0,4,3921.169312,158437,True,997.0,3921.169312,0.0,0
2754.0,23.4040672,70,148,11,6,87.0,58.0,172,2641,35.0,0.026884949242149306,390,4.6,7.0,1290.0,4,6593.076757500001,245232,False,1290.0,6593.076757500001,0.0,1
2401.072434,23.64764493,70,127,11,6,0.0,0.0,0,0,34.0,0.0,0,0.0,0.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
474.0,20.09952607,79,99,0,6,57.0,27.0,67,728,13.0,0.0,124,4.4,7.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
2605.0,17.09571559,129,209,8,10,98.0,74.0,201,2642,15.0,0.0,422,4.6,6.0,9522.0,0,102695.19,0,False,0.0,0.0,0.012037634431919535,1
4216.0,22.60411471,115,209,11,10,84.0,65.0,191,2164,4.0,0.019756845766246846,357,4.6,3.0,1962.5,5,6593.076757500001,333710,False,1962.5,6593.076757500001,0.0,1
4948.0,17.16666667,92,184,12,11,144.0,110.0,354,4640,31.0,0.01908320696151943,677,4.6,13.5,493.0,4,1002.746193,52545,False,493.0,1002.746193,0.0,0
2675.0,23.62302483,76,97,0,10,65.0,57.0,196,2294,3.0,0.019353560505414712,383,4.6,4.0,807.0,5,3097.092227,160026,True,807.0,3097.092227,0.0,0
4081.0,12.93639208,84,62,7,1,31.0,14.0,72,991,17.0,0.0,123,4.6,3.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
3786.0,26.93399015,85,58,8,12,153.0,104.0,292,3643,25.0,0.023829460512187695,566,4.6,12.0,735.0,2,2973.869013,124797,False,735.0,2973.869013,0.0,1
1195.0,32.06311637,117,209,12,6,92.0,61.0,148,2296,31.0,0.03882391585640124,361,4.6,3.0,620.0,2,2295.929912,59136,False,620.0,2295.929912,0.0,1
4696.0,18.00356379,110,116,8,1,52.0,47.0,105,1541,33.0,0.0,222,4.6,3.0,3479.0,0,40244.28,0,False,0.0,0.0,0.01043443224601899,1
3267.0,11.61018519,173,158,0,2,80.0,58.0,150,1969,11.0,0.0,301,4.6,6.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
4794.0,18.85164271,106,203,12,7,50.0,21.0,53,1119,26.0,0.0,141,4.6,6.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
1850.0,13.31202224,87,60,14,7,84.0,55.0,142,1651,12.0,0.0,281,4.5,0.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
1231.0,8.668421053,125,221,7,5,39.0,25.0,82,785,22.0,0.01248653022706249,113,4.5,0.0,679.0,2,1606.304708,128642,True,679.0,1606.304708,0.0,0
3431.0,22.1513083,82,105,0,4,40.0,32.0,84,967,13.0,0.016385630724656767,165,4.5,0.0,4620.0,4,43728.045334,212610,True,1141.0,3483.765334,0.01043443224601899,0
2392.0,30.17436792,79,100,0,11,133.0,98.0,272,3583,12.0,0.016800059494497765,529,4.6,5.0,944.0,4,4346.393792,258712,False,944.0,4346.393792,0.0,1
4671.0,18.34892788,124,221,9,12,110.0,84.0,209,2869,16.0,0.026194584221130492,439,4.6,4.0,708.0,4,3796.328702,144927,True,708.0,3796.328702,0.0,1
2978.0,11.76439791,91,54,8,5,15.0,0.0,0,0,30.0,0.0,0,1.0,5.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
5056.0,22.57355126,152,186,10,3,75.0,56.0,160,2277,17.0,0.012558012683392157,355,4.6,5.0,1324.0,2,3291.141174,262074,True,1324.0,3291.141174,0.0,1
5551.0,19.88243974,126,221,12,1,108.0,60.0,163,2592,7.0,0.014283836815834942,352,4.6,12.0,4170.0,2,43071.651227,197941,True,951.0,2827.371227,0.01043443224601899,1
3861.0,21.90264853,161,158,0,9,56.0,45.0,140,2466,14.0,0.0,333,4.7,2.0,11557.0,0,130779.05,0,False,0.0,0.0,0.011973061971253822,1
4948.0,19.71294118,120,196,11,5,71.0,54.0,150,2324,3.0,0.018845070192274736,337,4.6,3.0,429.0,2,1099.685226,58353,False,429.0,1099.685226,0.0,0
7324.5,19.66060606,95,67,14,2,71.0,51.0,117,1284,9.0,0.013205217784614563,217,4.5,9.0,1804.0,2,3957.418897,299685,True,1804.0,3957.418897,0.0,1
4813.0,26.01678909,120,196,11,2,85.0,63.0,180,2858,15.0,0.0,406,4.6,7.0,5379.0,0,61559.15,0,False,0.0,0.0,0.009999826186456125,0
